word	stimulus	name
bolso	¿Cuál es el bolso? Tocalo	bolso_preg
loro	¿Cuál es el loro? Tocalo	loro_preg
helicóptero	¿Cuál es el helicóptero? Tocalo	helicoptero_preg
lampara	¿Cuál es la lampara? Tocala	lampara_preg
nadar	¿Cuál está nadando? Tocalo	nadar_preg
inflar	¿Cuál está inflando? Tocalo	inflar_preg
clavar	¿Cuál está clavando? Tocalo	clavar_preg
rayado	¿Cuál es el animal rayado? Tocalo	rayado_preg
joven	¿Cuál es el hombre joven? Tocalo	joven_preg
oreja	¿Cuál es la oreja? Tocala	oreja_preg
verde	¿Cuál es verde? Tocalo	verde_preg
sonreir	¿Cuál está sonriendo? Tocalo	sonreir_preg
tirar	¿Quién está tirando algo? Tocalo	tirar_preg
caballo	¿Cuál es el caballo? Tocalo	caballo_preg
nene	¿Cuál es el nene? Tocalo	nene_preg
mochila	¿Cuál es la mochila? Tocala	mochila_preg
cabeza	¿Cuál es la cabeza? Tocala	cabeza_preg
camas	¿Cuáles son las camas? Tocalas	camas_preg
lápiz	¿Cuál es el lápiz? Tocalo	lapiz_preg
comida	¿Cuál es la comida? Tocala	comida_preg
comer	¿Cuál está comiendo? Tocalo	comer_preg
romper	¿Cuál está rompiendo algo? Tocalo	romper_preg
dormir	¿Cuál está durmiendo? Tocalo	dormir_preg
llorar	¿Cuál está llorando? Tocalo	llorar_preg
sucia	¿Cuál está sucia? Tocalo	sucia_preg
alto	¿Cuál es el vaso alto? Tocalo	alto_preg
grande	¿Cuál es grande? Tocalo	grande_preg
tijera	¿Cuál es la tijera? Tocala	tijera_preg
colectivo	¿Cuál es el colectivo? Tocalo	colectivo_preg
gorro	¿Cuál es el gorro? Tocalo	gorro_preg
barco	¿Cuál es el barco? Tocalo	barco_preg
pez	¿Cuál es el pez? Tocalo	pez_preg
mariposa	¿Cuál es la mariposa? Tocala	mariposa_preg
hombre	¿Cuál es el hombre? Tocalo	hombre_preg
arrancar	¿Cuál está arrancando algo? Tocala	arrancar_preg
pisar	¿Cuál está pisando algo? Tocalo	pisar_preg
peinar	¿Cuál se está peinando? Tocala	peinar_preg
soplar	¿Cuál está soplando algo? Tocala	soplar_preg
contento	¿Cuál está contento? Tocalo	contento_preg
oscura	¿Cuál es oscura? Tocalo	oscura_preg
rota	¿Cuál es la caja rota? Tocala	rota_preg
canguro	¿Cuál es el canguro? Tocalo	canguro_preg
bosque	¿Cuál es el bosque? Tocalo	bosque_preg
médico	¿Cuál es el médico? Tocalo	medico_preg
vela	¿Cuál es la vela? Tocala	vela_preg
mueble	¿Cuál es el mueble? Tocalo	mueble_preg
mosquito	¿Cuál es el mosquito? Tocalo	mosquito_preg
accidente	¿Cuál es el accidente? Tocalo	accidente_preg
empanada	¿Cuál es la empanada? Tocala	empanada_preg
pescar	¿Cuál está pescando? Tocalo	pescar_preg
atajar	¿Cuál está atajando? Tocalo	atajar_preg
barrer	¿Cuál está barriendo? Tocalo	barrer_preg
peludo	¿Cuál es el animal peludo? Tocalo	peludo_preg
descalzo	¿Cuál es el hombre descalzo? Tocalo	descalzo_preg
