thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
ACE0A563BA7B4A47B827CFC08ABD664E	53	107	Test_mix1_beg	2016-04-06T07:54:48.000Z	massena	app_session_791.csv
EB075AA6BE4748D89A7A3A054A15E242	36	108	Test_mix1_beg	2016-04-06T08:13:23.000Z	massena	app_session_792.csv
18F6CA41FB004DC6AC8021638A1A7731	54	109	Test_mix1_beg	2016-04-06T08:34:26.000Z	massena	app_session_793.csv
4218C919A3CD4CAF8849EA38113D8427	44	110	Test_mix1_beg	2016-04-06T08:56:05.000Z	massena	app_session_794.csv
CE04FE12957D482E8AE7F40E0A82C3BA	33	111	Test_mix1_beg	2016-04-06T09:13:54.000Z	massena	app_session_795.csv
DD628B42CBB34B058106278BB0F50083	17	213	Test_mix1_beg	2016-04-13T08:21:45.000Z	massena	app_session_809.csv
1DC977F37B0140C490FEA172B9560E0B	53	214	Test_mix1_beg	2016-04-13T08:44:16.000Z	massena	app_session_811.csv
C79030F7FBF143168C83AABC4F463FAB	48	115	Test_mix1_beg	2016-04-13T08:20:32.000Z	massena	app_session_814.csv
10B54AD35AF84A4583847364F67E69B1	44	116	Test_mix1_beg	2016-04-13T08:40:25.000Z	massena	app_session_816.csv
97A4B4002E284C7288A0BF5128F036F2	32	121	Test_mix1_beg	2016-04-15T08:16:50.000Z	massena	app_session_824.csv
8737E37D512846538D4813CA0F114952	54	218	Test_mix1_beg	2016-04-15T08:13:19.000Z	massena	app_session_833.csv
2EC281142BFA43739FE25377574763E9	24	188	Test_mix1_beg	2016-04-15T08:38:25.000Z	massena	app_session_837.csv
