"thisdir"	"thisf"	"uuid"	"device"	"date"	"config_scenario"	"config_profile"	"subject_id"	"session_number"	"session_started_at"	"session_ended_at"	"trial_number_session"	"trial_started_at"	"repetition"	"level_number"	"level_name"	"level_background"	"stage_number"	"objects_count"	"object1_name"	"object1_touch_diff_time"	"object2_name"	"object2_touch_diff_time"	"object3_name"	"object3_touch_diff_time"	"object4_name"	"object4_touch_diff_time"	"mandy_touch_diff_time"	"object_asked"	"object_asked_position"	"object_touched"	"object_touched_position"	"object_touched_at"	"stage_end"	"correct"	"feedback"
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	13	"2016-03-23T08:47:26.568Z"	0	8	"Test_C2"	"mountain"	2	2	"telephoner"	NA	"coiffer"	NA	NA	NA	NA	NA	965	"coiffer"	"CENTER_RIGHT"	"coiffer"	"CENTER_RIGHT"	2580	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	14	"2016-03-23T08:47:36.420Z"	0	8	"Test_C2"	"mountain"	3	2	"chat"	NA	"cochon"	NA	NA	NA	NA	NA	900	"cochon"	"CENTER_RIGHT"	"cochon"	"CENTER_RIGHT"	3689	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	15	"2016-03-23T08:47:47.287Z"	0	8	"Test_C2"	"mountain"	4	2	"pingouin"	NA	"kangourou"	NA	NA	NA	NA	NA	2143	"pingouin"	"CENTER_LEFT"	"pingouin"	"CENTER_LEFT"	1477	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	16	"2016-03-23T08:47:58.807Z"	0	9	"Test_L2"	"mountain"	1	2	"zat_02"	1210	"sat_01"	2512	NA	NA	NA	NA	726	"sat_01"	"CENTER_RIGHT"	"sat_01"	"CENTER_RIGHT"	1944	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	17	"2016-03-23T08:48:13.395Z"	0	10	"Test_C3"	"desert"	1	2	"debout"	NA	"assis"	NA	NA	NA	NA	NA	756	"assis"	"CENTER_RIGHT"	"assis"	"CENTER_RIGHT"	1325	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	18	"2016-03-23T08:48:21.872Z"	0	10	"Test_C3"	"desert"	2	2	"groupe"	NA	"medecin"	NA	NA	NA	NA	NA	837	"medecin"	"CENTER_RIGHT"	"groupe"	"CENTER_LEFT"	1987	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	19	"2016-03-23T08:48:32.446Z"	0	11	"Test_L3"	"desert"	1	2	"sat_01"	2551	"zat_02"	1102	NA	NA	NA	NA	1841	"zat_02"	"CENTER_RIGHT"	"zat_02"	"CENTER_RIGHT"	1533	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	20	"2016-03-23T08:48:48.104Z"	0	12	"Test_C4"	"desert"	1	2	"perroquet"	NA	"moustique"	NA	NA	NA	NA	NA	11399	"perroquet"	"CENTER_LEFT"	"perroquet"	"CENTER_LEFT"	2113	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	21	"2016-03-23T08:49:07.957Z"	0	12	"Test_C4"	"desert"	2	2	"tete"	NA	"bouche"	NA	NA	NA	NA	NA	4181	"tete"	"CENTER_LEFT"	"bouche"	"CENTER_RIGHT"	1860	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	22	"2016-03-23T08:49:20.275Z"	0	12	"Test_C4"	"desert"	3	2	"plonger"	NA	"pecher"	NA	NA	NA	NA	NA	3691	"pecher"	"CENTER_RIGHT"	"plonger"	"CENTER_LEFT"	3822	"touch_object"	0	1
