"Date"	"CSV"	"Anon"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date"
"05/04/2016"	"FC8CEEF2DD8E4280BFDAAF71D0F38BE7"	"J24"	"no"	""	""	"FC8CEEF2DD8E4280BFDAAF71D0F38BE7"	104	"2016-04-05T08:04:44.000Z"	"Test_mix1_beg"	"fautrier"	"104_app_session_FC8CEEF2DD8E4280BFDAAF71D0F38BE7.csv"	"05/04/2016"
"05/04/2016"	"953860E3A330422593763027863067BA"	"J3"	"no"	""	""	"953860E3A330422593763027863067BA"	101	"2016-04-05T06:59:37.000Z"	"Test_mix1_beg"	"fautrier"	"101_app_session_953860E3A330422593763027863067BA.csv"	"05/04/2016"
"05/04/2016"	"134FA33F7A6E4F16837963EF1BA4CA66"	"J4"	"no"	""	""	"134FA33F7A6E4F16837963EF1BA4CA66"	203	"2016-04-05T08:23:36.000Z"	"Test_mix2_beg"	"fautrier"	"203_app_session_134FA33F7A6E4F16837963EF1BA4CA66.csv"	"05/04/2016"
"05/04/2016"	"18F719E1B7454C3E824D16E1F129BCFA"	"J5"	"no"	""	""	"18F719E1B7454C3E824D16E1F129BCFA"	5	"2016-04-05T07:36:37.000Z"	"Test_mix2_beg"	"fautrier"	"5_app_session_18F719E1B7454C3E824D16E1F129BCFA.csv"	"05/04/2016"
"05/04/2016"	"72321C90E39E4934820AD7F9524AB934"	"J7"	"no"	""	""	"72321C90E39E4934820AD7F9524AB934"	105	"2016-04-05T08:22:20.000Z"	"Test_mix1_beg"	"fautrier"	"105_app_session_72321C90E39E4934820AD7F9524AB934.csv"	"05/04/2016"
"05/04/2016"	"2EAEE5BFC200421E84EACAEBCD5FEE74"	"J9"	"no"	""	""	"2EAEE5BFC200421E84EACAEBCD5FEE74"	106	"2016-04-05T08:39:04.000Z"	"Test_mix1_beg"	"fautrier"	"106_app_session_2EAEE5BFC200421E84EACAEBCD5FEE74.csv"	"05/04/2016"
"06/04/2016"	"594DA4CA8CF34A8C869C92FDD0C5A2A5"	"M10"	"no"	""	""	"594DA4CA8CF34A8C869C92FDD0C5A2A5"	207	"2016-04-06T08:43:06.000Z"	"Test_mix2_beg"	"massena"	"app_session_786.csv"	"06/04/2016"
"06/04/2016"	"EB075AA6BE4748D89A7A3A054A15E242"	"M13"	"no"	""	""	"EB075AA6BE4748D89A7A3A054A15E242"	108	"2016-04-06T08:13:23.000Z"	"Test_mix1_beg"	"massena"	"app_session_792.csv"	"06/04/2016"
"06/04/2016"	"18F6CA41FB004DC6AC8021638A1A7731"	"M14"	"no"	""	""	"18F6CA41FB004DC6AC8021638A1A7731"	109	"2016-04-06T08:34:26.000Z"	"Test_mix1_beg"	"massena"	"app_session_793.csv"	"06/04/2016"
"06/04/2016"	"CE04FE12957D482E8AE7F40E0A82C3BA"	"M18"	"no"	""	""	"CE04FE12957D482E8AE7F40E0A82C3BA"	111	"2016-04-06T09:13:54.000Z"	"Test_mix1_beg"	"massena"	"app_session_795.csv"	"06/04/2016"
