"thisdir"	"thisf"	"uuid"	"device"	"date"	"config_scenario"	"config_profile"	"subject_id"	"session_number"	"session_started_at"	"session_ended_at"	"trial_number_session"	"trial_started_at"	"repetition"	"level_number"	"level_name"	"level_background"	"stage_number"	"objects_count"	"object1_name"	"object1_touch_diff_time"	"object2_name"	"object2_touch_diff_time"	"object3_name"	"object3_touch_diff_time"	"object4_name"	"object4_touch_diff_time"	"mandy_touch_diff_time"	"object_asked"	"object_asked_position"	"object_touched"	"object_touched_position"	"object_touched_at"	"stage_end"	"correct"	"feedback"
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	11	"2016-07-19T22:32:40.467Z"	0	2	"block1"	"beach"	4	2	"pescar_imp"	NA	"nadar_imp"	NA	NA	NA	NA	NA	1027	"pescar_imp"	"CENTER_LEFT"	"pescar_imp"	"CENTER_LEFT"	4687	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	12	"2016-07-19T22:32:53.501Z"	0	2	"block1"	"beach"	5	2	"tortuga_imp"	NA	"mariposa_imp"	NA	NA	NA	NA	NA	768	"mariposa_imp"	"CENTER_RIGHT"	"mariposa_imp"	"CENTER_RIGHT"	2659	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	13	"2016-07-19T22:33:04.219Z"	0	2	"block1"	"beach"	6	2	"oscuro_imp"	NA	"redondo_imp"	NA	NA	NA	NA	NA	588	"oscuro_imp"	"CENTER_LEFT"	"redondo_imp"	"CENTER_RIGHT"	4393	"touch_object"	0	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	14	"2016-07-19T22:33:16.489Z"	0	2	"block1"	"beach"	7	2	"pinguino_imp"	NA	"canguro_imp"	NA	NA	NA	NA	NA	870	"canguro_imp"	"CENTER_RIGHT"	"canguro_imp"	"CENTER_RIGHT"	1864	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	15	"2016-07-19T22:33:26.520Z"	0	2	"block1"	"beach"	8	2	"lleno_imp"	NA	"alto_imp"	NA	NA	NA	NA	NA	1123	"alto_imp"	"CENTER_RIGHT"	"alto_imp"	"CENTER_RIGHT"	2894	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	16	"2016-07-19T22:33:37.837Z"	0	2	"block1"	"beach"	9	2	"inflar_imp"	NA	"atajar_imp"	NA	NA	NA	NA	NA	1399	"inflar_imp"	"CENTER_LEFT"	"atajar_imp"	"CENTER_RIGHT"	4202	"touch_object"	0	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	17	"2016-07-19T22:33:50.705Z"	0	2	"block1"	"beach"	10	2	"colectivo_imp"	NA	"avion_imp"	NA	NA	NA	NA	NA	825	"avion_imp"	"CENTER_RIGHT"	"avion_imp"	"CENTER_RIGHT"	2016	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	18	"2016-07-19T22:34:00.839Z"	0	2	"block1"	"beach"	11	2	"caballo_imp"	NA	"gato_imp"	NA	NA	NA	NA	NA	1072	"caballo_imp"	"CENTER_LEFT"	"caballo_imp"	"CENTER_LEFT"	1996	"touch_object"	1	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	19	"2016-07-19T22:34:11.222Z"	0	2	"block1"	"beach"	12	2	"peludo_imp"	NA	"rayado_imp"	NA	NA	NA	NA	NA	2462	"peludo_imp"	"CENTER_LEFT"	"rayado_imp"	"CENTER_RIGHT"	2435	"touch_object"	0	1
"NSB"	"app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv"	"1A4C120389364BCE9E292AF3E8FD2BA2"	"Unknown"	"2016-07-19"	NA	"Espanol_Grupo1_imp"	623	1	"2016-07-19T22:30:26.000Z"	"2016-07-19T22:40:36.000Z"	20	"2016-07-19T22:34:23.390Z"	0	2	"block1"	"beach"	13	2	"helicoptero_imp"	NA	"accidente_imp"	NA	NA	NA	NA	NA	2295	"accidente_imp"	"CENTER_RIGHT"	"helicoptero_imp"	"CENTER_LEFT"	2456	"touch_object"	0	1
