id	SES	date	profile	trials_completed	trials_attempted	pc	rt_corr	rt_incorr	pc_1	pc_2	rt_1	rt_2	propLeft	bias	N_easy	N_mod	N_diff	pc_easy	pc_mod	pc_diff	rt_easy	rt_mod	rt_diff	N_noun	N_adj	N_verb	pc_noun	pc_adj	pc_verb	rt_noun	rt_adj	rt_verb
623	NSB	2016-07-19	Espanol_Grupo1_imp	41	38	0.657894736842105	2653	3449	0.684210526315789	0.631578947368421	2894	2653	0.289473684210526	1	13	13	12	0.923076923076923	0.615384615384615	0.416666666666667	2445.5	2936.5	4290	22	8	8	0.772727272727273	0.375	0.625	2562	2894	4687
624	NSB	2016-07-19	Espanol_Grupo1_imp	41	25	0.68	4469	3699	0.769230769230769	0.583333333333333	4842	3874	0.6	0	11	6	8	0.727272727272727	0.666666666666667	0.625	4342.5	4564	4842	15	5	5	0.8	0.4	0.6	4312.5	6157.5	4719
625	NSB	2016-07-19	Espanol_Grupo1_imp	41	41	0.829268292682927	2538	3588	0.904761904761905	0.75	2596	2734.5	0.48780487804878	0	14	14	13	0.857142857142857	0.785714285714286	0.846153846153846	2610	2282	2703	22	8	11	0.954545454545455	0.75	0.636363636363636	2281	2889.5	2709
626	NSM	2016-07-22	Espanol_Grupo1_imp	41	39	0.974358974358974	1774	NA	1	0.947368421052632	1657.5	2153	0.487179487179487	0	13	13	13	1	1	0.923076923076923	1571	2014	1946.5	22	8	9	1	1	0.888888888888889	1572.5	2587.5	2825
627	NSB	2016-07-22	Espanol_Grupo1_imp	41	27	0.555555555555556	3999	3689.5	0.571428571428571	0.538461538461538	3651.5	3999	0.222222222222222	1	9	13	5	0.555555555555556	0.461538461538462	0.8	3999	3983	3736	13	5	9	0.615384615384615	0.2	0.666666666666667	3375	5765	4846
628	NSB	2016-07-22	Espanol_Grupo1_imp	41	40	0.85	2966	2324	0.8	0.9	3081.5	2536	0.4	0	14	14	12	0.928571428571429	0.928571428571429	0.666666666666667	2149	3243	2337.5	21	8	11	0.904761904761905	0.625	0.909090909090909	2149	3611	3665
629	NSB	2016-07-23	Espanol_Grupo1_imp	41	29	1	4360	NA	1	1	4374	4083	0.551724137931034	0	9	11	9	1	1	1	3856	4235	5271	20	6	3	1	1	NA	4299	4807	NA
630	NSB	2016-07-23	Espanol_Grupo1_imp	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA
631	NSM	2016-07-27	Espanol_Grupo1_imp	41	32	0.71875	3770	2897	0.6875	0.75	3215.5	3921	0.625	1	10	12	10	0.7	0.833333333333333	0.6	3770	3633	4281	17	7	8	0.764705882352941	0.571428571428571	0.75	3203	4919.5	4793
634	NSM	2016-09-02	Espanol_Grupo1_imp	41	41	0.731707317073171	3878.5	2754	0.857142857142857	0.6	3882	3749.5	0.439024390243902	0	14	14	13	0.785714285714286	0.714285714285714	0.692307692307692	3873	3831.5	4646	22	8	11	0.863636363636364	0.375	0.727272727272727	3747	3875	4671.5
635	NSM	2016-09-05	Espanol_Grupo1_imp	41	28	0.821428571428571	2983	2680	0.857142857142857	0.785714285714286	2454.5	3064.5	0.571428571428571	0	11	8	9	0.909090909090909	0.75	0.777777777777778	3010.5	3040	2876	15	6	7	0.866666666666667	0.833333333333333	0.714285714285714	2934	1566	3762
636	NSM	2016-09-06	Espanol_Grupo1_imp	41	38	0.842105263157895	3186.5	4240	0.842105263157895	0.842105263157895	3157	3588	0.526315789473684	0	13	13	12	1	0.846153846153846	0.666666666666667	2989	3944	3304.5	20	8	10	0.85	0.875	0.8	3117	3957	3137.5
637	NSM	2016-09-09	Espanol_Grupo1_imp	41	40	0.975	2616	NA	1	0.95	2585	2763	0.5	0	14	14	12	1	1	0.916666666666667	2279	2548	2991	21	8	11	0.952380952380952	1	1	2090.5	2734.5	3256
650	NSM	2016-06-22	Espanol_Grupo1_imp	41	24	0.583333333333333	4007	4521.5	0.416666666666667	0.75	4238	4048.5	0.166666666666667	1	6	9	9	0.333333333333333	0.777777777777778	0.555555555555556	NA	3759	4099	15	4	5	0.6	0.5	0.6	4241	2370.5	3759
694	NSM	2016-08-03	Espanol_Grupo1_imp	41	38	0.894736842105263	1983.5	2281	0.894736842105263	0.894736842105263	2097	1965	0.605263157894737	1	13	14	11	0.923076923076923	0.928571428571429	0.818181818181818	1866.5	1907	2163	21	8	9	0.904761904761905	1	0.777777777777778	1881	1936	2532
695	NSM	2016-08-11	Espanol_Grupo1_imp	41	39	0.923076923076923	2641	NA	0.95	0.894736842105263	2758	2613	0.461538461538462	0	14	14	11	1	0.928571428571429	0.818181818181818	2625.5	2729	2613	21	8	10	0.952380952380952	0.875	0.9	2288.5	2787	3525
696	NSM	2016-08-14	Espanol_Grupo1_imp	41	30	0.933333333333333	2762	NA	1	0.866666666666667	2668	2723	0.566666666666667	0	10	10	10	0.9	1	0.9	2721	2367	3208	19	6	5	1	0.833333333333333	0.8	2476	2801	3955.5
